test_name,index_state,avg_elapsed_ms,min_elapsed_ms,max_elapsed_ms,stddev_elapsed_ms
select_by_customer_id,btree_index_customer_id,0.035,0.022,0.133,0.034
select_by_customer_id,without_index,60.909,45.501,80.036,11.566
