operation_name,index_type,rows_base,runs,batch_size_min,batch_size_max,probes_min,probes_max,avg_total_elapsed_ms,min_total_elapsed_ms,max_total_elapsed_ms,stddev_total_elapsed_ms,avg_elapsed_ms_per_operation,affected_rows_min,affected_rows_max,found_rows_min,found_rows_max,trigger_rows_min,trigger_rows_max
insert,function_index,50000,5,1000,1000,,,2.972200,2.223000,3.588000,0.670309,0.002972200,1000,1000,,,,
insert,no_index,50000,5,1000,1000,,,1.448200,1.175000,1.995000,0.334800,0.001448200,1000,1000,,,,
insert,simple_btree,50000,5,1000,1000,,,2.830400,2.360000,3.503000,0.468240,0.002830400,1000,1000,,,,
insert,unique_btree,50000,5,1000,1000,,,3.970000,2.776000,6.134000,1.445612,0.003970000,1000,1000,,,,
insert,expression_index,100000,5,1000,1000,,,13.926800,5.733000,42.298000,15.895571,0.013926800,1000,1000,,,,
insert,function_index,100000,5,1000,1000,,,3.064200,2.389000,3.642000,0.532410,0.003064200,1000,1000,,,,
insert,no_index,100000,5,1000,1000,,,1.402000,1.145000,1.806000,0.273948,0.001402000,1000,1000,,,,
insert,simple_btree,100000,5,1000,1000,,,3.276000,3.051000,3.564000,0.238723,0.003276000,1000,1000,,,,
insert,unique_btree,100000,5,1000,1000,,,3.839600,3.245000,5.083000,0.761976,0.003839600,1000,1000,,,,
insert,expression_index,250000,5,1000,1000,,,9.983400,8.038000,12.595000,1.997970,0.009983400,1000,1000,,,,
insert,function_index,250000,5,1000,1000,,,5.121400,3.929000,6.696000,1.308428,0.005121400,1000,1000,,,,
insert,no_index,250000,5,1000,1000,,,1.773600,1.200000,2.301000,0.513671,0.001773600,1000,1000,,,,
insert,simple_btree,250000,5,1000,1000,,,6.319000,2.962000,16.793000,5.890882,0.006319000,1000,1000,,,,
insert,unique_btree,250000,5,1000,1000,,,4.242000,3.278000,5.298000,0.848795,0.004242000,1000,1000,,,,
insert,expression_index,500000,5,1000,1000,,,13.744600,6.814000,36.814000,12.959589,0.013744600,1000,1000,,,,
insert,function_index,500000,5,1000,1000,,,4.845000,2.280000,9.680000,3.212334,0.004845000,1000,1000,,,,
insert,no_index,500000,5,1000,1000,,,1.836600,1.316000,2.776000,0.561762,0.001836600,1000,1000,,,,
insert,simple_btree,500000,5,1000,1000,,,10.777000,3.320000,37.519000,14.968329,0.010777000,1000,1000,,,,
insert,unique_btree,500000,5,1000,1000,,,4.325800,3.350000,5.575000,1.011285,0.004325800,1000,1000,,,,
select,btree_index_nonclustered,10,6,,,200,200,6.642167,5.009000,9.994000,2.099207,0.033210833,,,200,200,,
select,without_index_nonclustered,10,6,,,200,200,5.655667,3.070000,9.947000,2.687675,0.028278333,,,200,200,,
select,btree_index_nonclustered,25,6,,,200,200,6.191167,4.564000,8.501000,1.668517,0.030955833,,,200,200,,
select,without_index_nonclustered,25,6,,,200,200,4.047000,3.234000,4.900000,0.736365,0.020235000,,,200,200,,
select,btree_index_nonclustered,50,6,,,200,200,5.634500,4.242000,7.566000,1.142825,0.028172500,,,200,200,,
