operation_name,index_type,metric,min_rows_for_fit,points_used_for_fit,teacher_model_name,teacher_formula,teacher_r2,teacher_rmse,teacher_mape_percent,teacher_aicc,statistical_model_name,statistical_formula,statistical_r2,statistical_rmse,statistical_mape_percent,statistical_aicc,models_match,expected_priority
insert,expression_index,avg_elapsed_ms_per_operation,50,13,logarithmic,y = 0.00474497 + 4.018874e-04·ln(N),0.14643957433801957,0.002792949124444882,33.78492765893452,-147.6970873966786,linear,y = 0.00713089 + 0.0142751·(N/1e6),0.44107570968668486,0.0022600725531577723,24.55262783002852,-153.20131743919814,NO,logarithmic > linear > constant > exponential
insert,function_index,avg_elapsed_ms_per_operation,50,13,logarithmic,y = 0.00680641 + -2.967561e-04·ln(N),0.18313311048464198,0.0018041079737860539,30.760865622462575,-159.05991417423894,constant,y = 0.00427888,0.0,0.0019961210731561916,29.75979600592754,-159.26664920736715,NO,logarithmic > linear > constant > exponential
insert,no_index,avg_elapsed_ms_per_operation,50,13,constant,y = 0.00258363,-2.220446049250313e-16,0.0019193134811836378,49.882249231568906,-160.28684432429162,logarithmic,y = 0.00645195 + -4.541780e-04·ln(N),0.4639826373080239,0.0014051909451018888,39.8405414199437,-165.55713411752916,NO,constant > logarithmic > linear > exponential
insert,simple_btree,avg_elapsed_ms_per_operation,50,13,logarithmic,y = 0.00407433 + 7.535571e-05·ln(N),0.007966028351201304,0.0024206347597971203,44.757834192350614,-151.41686237003753,exponential,y = 0.00366597·exp(1.98193·(N/1e6)),0.5209471456539363,0.001682122845516813,24.557195125559772,-160.88016580255842,NO,logarithmic > linear > constant > exponential
insert,unique_btree,avg_elapsed_ms_per_operation,50,13,logarithmic,y = 0.00840063 + -4.257417e-04·ln(N),0.3264340721941619,0.0017603912884696566,26.18470793733692,-159.69769846284925,logarithmic,y = 0.00840063 + -4.257417e-04·ln(N),0.3264340721941619,0.0017603912884696566,26.18470793733692,-159.69769846284925,YES,logarithmic > linear > constant > exponential
insert,expression_index,avg_total_elapsed_ms,50,13,logarithmic,y = -5.28059 + 1.33953·ln(N),0.8378890741584443,1.6960374385128236,26.662613277706708,18.935659904743304,logarithmic,y = -5.28059 + 1.33953·ln(N),0.8378890741584443,1.6960374385128236,26.662613277706708,18.935659904743304,YES,logarithmic > linear > constant > exponential
insert,function_index,avg_total_elapsed_ms,50,13,logarithmic,y = -0.755798 + 0.415821·ln(N),0.7169309188727591,0.7521160703110353,38.531497734671696,-2.2064800712495902,logarithmic,y = -0.755798 + 0.415821·ln(N),0.7169309188727591,0.7521160703110353,38.531497734671696,-2.2064800712495902,YES,logarithmic > linear > constant > exponential
insert,no_index,avg_total_elapsed_ms,50,13,constant,y = 1.40692,0.0,0.5636397514968721,57.84965838925776,-12.543202857537073,logarithmic,y = 0.444484 + 0.113·ln(N),0.33303631249385834,0.4603124375106437,37.584465478267646,-14.972095010064379,NO,constant > logarithmic > linear > exponential
insert,simple_btree,avg_total_elapsed_ms,50,13,logarithmic,y = -3.05156 + 0.745256·ln(N),0.6670684789387776,1.5155429732236068,38.001980624836314,16.01011809590564,linear,y = 2.03399 + 17.371·(N/1e6),0.8651871429491034,0.9643983400089258,68.33810023417787,4.257477797434539,NO,logarithmic > linear > constant > exponential
insert,unique_btree,avg_total_elapsed_ms,50,13,logarithmic,y = -0.271684 + 0.390386·ln(N),0.6884559886813745,0.7559383584241424,35.84183842551001,-2.0746815076750194,logarithmic,y = -0.271684 + 0.390386·ln(N),0.6884559886813745,0.7559383584241424,35.84183842551001,-2.0746815076750194,YES,logarithmic > linear > constant > exponential
select,btree_index_nonclustered,avg_elapsed_ms_per_operation,50,13,logarithmic,y = -0.00121876 + 0.00622445·ln(N),0.4796629792548124,0.018661478361251056,34.06239061808952,-98.31364037253013,linear,y = 0.0412997 + 0.144486·(N/1e6),0.6170057574968456,0.01601031236587878,27.459808025391574,-102.29757827875538,NO,logarithmic > constant > linear > exponential
select,without_index_nonclustered,avg_elapsed_ms_per_operation,50,13,linear,y = 0.326265 + 38.8974·(N/1e6),0.962004032794222,1.0872340807213114,336.8840328934415,7.374560195737975,linear,y = 0.326265 + 38.8974·(N/1e6),0.962004032794222,1.0872340807213114,336.8840328934415,7.374560195737975,YES,linear > logarithmic > constant > exponential
select,btree_index_nonclustered,avg_total_elapsed_ms,50,13,logarithmic,y = -0.243752 + 1.24489·ln(N),0.47966297575679684,3.7322957419580884,34.06239048355408,39.44261164331936,linear,y = 8.25995 + 28.8972·(N/1e6),0.6170057370706512,3.2020626076050536,27.45980870630894,35.45867434302808,NO,logarithmic > constant > linear > exponential
select,without_index_nonclustered,avg_total_elapsed_ms,50,13,linear,y = 65.253 + 7779.48·(N/1e6),0.962004032841272,217.44681600950116,336.8840290902468,145.1308117098736,linear,y = 65.253 + 7779.48·(N/1e6),0.962004032841272,217.44681600950116,336.8840290902468,145.1308117098736,YES,linear > logarithmic > constant > exponential
size_insert,expression_index,indexes_bytes,50,13,linear,y = 3.449349e+05 + 1.485575e+07·(N/1e6),0.9098633440418595,657626.2326039632,634.7975003804839,353.5061923473041,linear,y = 3.449349e+05 + 1.485575e+07·(N/1e6),0.9098633440418595,657626.2326039632,634.7975003804839,353.5061923473041,YES,linear > logarithmic > constant > exponential
size_insert,function_index,indexes_bytes,50,13,linear,y = 2.478752e+04 + 7.318190e+06·(N/1e6),0.9997213706741142,17183.025263368614,22.55465749175013,258.7436090771824,linear,y = 2.478752e+04 + 7.318190e+06·(N/1e6),0.9997213706741142,17183.025263368614,22.55465749175013,258.7436090771824,YES,linear > logarithmic > constant > exponential
size_insert,no_index,indexes_bytes,50,13,constant,y = -0,1.0,0.0,,-928.9888915510414,constant,y = -0,1.0,0.0,,-928.9888915510414,YES,constant > linear > logarithmic > exponential
size_insert,simple_btree,indexes_bytes,50,13,linear,y = 2.435983e+04 + 7.298054e+06·(N/1e6),0.9996729379919151,18565.86589478544,22.372197882220902,260.7560801760821,linear,y = 2.435983e+04 + 7.298054e+06·(N/1e6),0.9996729379919151,18565.86589478544,22.372197882220902,260.7560801760821,YES,linear > logarithmic > constant > exponential
size_insert,unique_btree,indexes_bytes,50,13,linear,y = 1.713057e+04 + 2.248216e+07·(N/1e6),0.9999986753911528,3639.1853114976802,6.883762301553503,218.38739312150122,linear,y = 1.713057e+04 + 2.248216e+07·(N/1e6),0.9999986753911528,3639.1853114976802,6.883762301553503,218.38739312150122,YES,linear > logarithmic > constant > exponential
size_insert,expression_index,relation_bytes,50,13,linear,y = -1.687866e+04 + 8.291568e+07·(N/1e6),0.9999967729205075,20949.045540840183,47.554938419406966,263.8960575004694,linear,y = -1.687866e+04 + 8.291568e+07·(N/1e6),0.9999967729205075,20949.045540840183,47.554938419406966,263.8960575004694,YES,linear > logarithmic > constant > exponential
size_insert,function_index,relation_bytes,50,13,linear,y = -1.687866e+04 + 8.291568e+07·(N/1e6),0.9999967729205075,20949.045540840183,47.554938419406966,263.8960575004694,linear,y = -1.687866e+04 + 8.291568e+07·(N/1e6),0.9999967729205075,20949.045540840183,47.554938419406966,263.8960575004694,YES,linear > logarithmic > constant > exponential
size_insert,no_index,relation_bytes,50,13,linear,y = -1.687866e+04 + 8.291568e+07·(N/1e6),0.9999967729205075,20949.045540840183,47.554938419406966,263.8960575004694,linear,y = -1.687866e+04 + 8.291568e+07·(N/1e6),0.9999967729205075,20949.045540840183,47.554938419406966,263.8960575004694,YES,linear > logarithmic > constant > exponential
size_insert,simple_btree,relation_bytes,50,13,linear,y = -1.687866e+04 + 8.291568e+07·(N/1e6),0.9999967729205075,20949.045540840183,47.554938419406966,263.8960575004694,linear,y = -1.687866e+04 + 8.291568e+07·(N/1e6),0.9999967729205075,20949.045540840183,47.554938419406966,263.8960575004694,YES,linear > logarithmic > constant > exponential
