index_type,rows_base,runs,chunk_count_min,chunk_count_max,chunk_size_min,chunk_size_max,affected_min,affected_max,avg_total_elapsed_ms,min_total_elapsed_ms,max_total_elapsed_ms,stddev_total_elapsed_ms,avg_elapsed_ms_per_row
function_index,25000,5,100,100,10,10,1000,1000,28.608600,20.306000,36.115000,7.194425,0.028608600
no_extra_index,25000,5,100,100,10,10,1000,1000,15.656400,12.878000,17.226000,1.693503,0.015656400
no_lookup_index,25000,5,100,100,10,10,1000,1000,225.274800,183.672000,252.828000,28.375466,0.225274800
simple_btree,25000,5,100,100,10,10,1000,1000,20.602000,14.914000,30.777000,6.156783,0.020602000
unique_btree,25000,5,100,100,10,10,1000,1000,11.963000,9.338000,15.140000,2.088900,0.011963000
expression_index,50000,5,100,100,10,10,1000,1000,26.214200,20.184000,32.789000,5.067327,0.026214200
function_index,50000,5,100,100,10,10,1000,1000,23.272400,16.361000,35.242000,7.805502,0.023272400
no_extra_index,50000,5,100,100,10,10,1000,1000,13.980200,12.025000,16.068000,1.480111,0.013980200
no_lookup_index,50000,5,100,100,10,10,1000,1000,492.890200,415.597000,558.172000,57.979254,0.492890200
simple_btree,50000,5,100,100,10,10,1000,1000,18.478000,12.264000,23.356000,5.183898,0.018478000
unique_btree,50000,5,100,100,10,10,1000,1000,11.000600,7.780000,13.913000,2.474728,0.011000600
expression_index,100000,5,100,100,10,10,1000,1000,25.416200,22.848000,33.053000,4.304134,0.025416200
function_index,100000,5,100,100,10,10,1000,1000,24.923000,15.474000,41.121000,9.999170,0.024923000
no_extra_index,100000,5,100,100,10,10,1000,1000,17.135600,14.706000,21.336000,2.508599,0.017135600
no_lookup_index,100000,5,100,100,10,10,1000,1000,956.341600,868.098000,1093.367000,85.831489,0.956341600
simple_btree,100000,5,100,100,10,10,1000,1000,23.112600,19.359000,30.703000,4.383442,0.023112600
unique_btree,100000,5,100,100,10,10,1000,1000,15.281400,12.876000,18.809000,2.848820,0.015281400
expression_index,250000,5,100,100,10,10,1000,1000,22.768600,19.776000,24.998000,2.215846,0.022768600
function_index,250000,5,100,100,10,10,1000,1000,33.102800,26.016000,41.261000,5.479964,0.033102800
no_extra_index,250000,5,100,100,10,10,1000,1000,16.234600,12.935000,18.362000,2.238540,0.016234600
no_lookup_index,250000,5,100,100,10,10,1000,1000,2718.052600,2511.490000,2884.579000,161.389912,2.718052600
simple_btree,250000,5,100,100,10,10,1000,1000,25.588400,14.093000,38.469000,10.623789,0.025588400
unique_btree,250000,5,100,100,10,10,1000,1000,11.006800,8.942000,12.590000,1.785571,0.011006800
expression_index,500000,5,100,100,10,10,1000,1000,52.463000,42.503000,58.151000,7.693959,0.052463000
function_index,500000,5,100,100,10,10,1000,1000,28.274400,19.599000,41.564000,8.540957,0.028274400
no_extra_index,500000,5,100,100,10,10,1000,1000,18.396600,15.652000,20.650000,2.127122,0.018396600
no_lookup_index,500000,5,100,100,10,10,1000,1000,6566.784800,5777.024000,7885.062000,812.993372,6.566784800
simple_btree,500000,5,100,100,10,10,1000,1000,25.371200,19.798000,30.185000,4.249493,0.025371200
unique_btree,500000,5,100,100,10,10,1000,1000,12.159200,9.962000,15.093000,1.888042,0.012159200
