operation_name,index_type,rows_base,table_name,relation_bytes,indexes_bytes,total_bytes,relation_size,indexes_size,total_size
insert,expression_index,250000,lab4.ext_insert_work,20692992,5423104,26148864,20 MB,5296 kB,25 MB
insert,function_index,250000,lab4.ext_insert_work,20692992,1851392,22577152,20 MB,1808 kB,22 MB
insert,no_index,250000,lab4.ext_insert_work,20692992,0,20725760,20 MB,0 bytes,20 MB
insert,simple_btree,250000,lab4.ext_insert_work,20692992,1843200,22568960,20 MB,1800 kB,22 MB
insert,unique_btree,250000,lab4.ext_insert_work,20692992,5644288,26370048,20 MB,5512 kB,25 MB
insert,expression_index,500000,lab4.ext_insert_work,41451520,6774784,48267264,40 MB,6616 kB,46 MB
insert,function_index,500000,lab4.ext_insert_work,41451520,3694592,45187072,40 MB,3608 kB,43 MB
insert,no_index,500000,lab4.ext_insert_work,41451520,0,41492480,40 MB,0 bytes,40 MB
insert,simple_btree,500000,lab4.ext_insert_work,41451520,3686400,45178880,40 MB,3600 kB,43 MB
insert,unique_btree,500000,lab4.ext_insert_work,41451520,11255808,52748288,40 MB,11 MB,50 MB
select,btree_index_nonclustered,10,lab4.ext_select_work,8192,16384,32768,8192 bytes,16 kB,32 kB
select,without_index_nonclustered,10,lab4.ext_select_work,8192,0,16384,8192 bytes,0 bytes,16 kB
select,btree_index_nonclustered,25,lab4.ext_select_work,8192,16384,32768,8192 bytes,16 kB,32 kB
select,without_index_nonclustered,25,lab4.ext_select_work,8192,0,16384,8192 bytes,0 bytes,16 kB
select,btree_index_nonclustered,50,lab4.ext_select_work,8192,16384,32768,8192 bytes,16 kB,32 kB
select,without_index_nonclustered,50,lab4.ext_select_work,8192,0,16384,8192 bytes,0 bytes,16 kB
select,btree_index_nonclustered,100,lab4.ext_select_work,8192,16384,32768,8192 bytes,16 kB,32 kB
select,without_index_nonclustered,100,lab4.ext_select_work,8192,0,16384,8192 bytes,0 bytes,16 kB
select,btree_index_nonclustered,250,lab4.ext_select_work,16384,16384,65536,16 kB,16 kB,64 kB
select,without_index_nonclustered,250,lab4.ext_select_work,16384,0,49152,16 kB,0 bytes,48 kB
select,btree_index_nonclustered,500,lab4.ext_select_work,32768,32768,98304,32 kB,32 kB,96 kB
select,without_index_nonclustered,500,lab4.ext_select_work,32768,0,65536,32 kB,0 bytes,64 kB
select,btree_index_nonclustered,1000,lab4.ext_select_work,65536,40960,139264,64 kB,40 kB,136 kB
select,without_index_nonclustered,1000,lab4.ext_select_work,65536,0,98304,64 kB,0 bytes,96 kB
select,btree_index_nonclustered,2500,lab4.ext_select_work,163840,73728,270336,160 kB,72 kB,264 kB
select,without_index_nonclustered,2500,lab4.ext_select_work,163840,0,196608,160 kB,0 bytes,192 kB
select,btree_index_nonclustered,5000,lab4.ext_select_work,335872,131072,499712,328 kB,128 kB,488 kB
select,without_index_nonclustered,5000,lab4.ext_select_work,335872,0,368640,328 kB,0 bytes,360 kB
select,btree_index_nonclustered,10000,lab4.ext_select_work,679936,245760,958464,664 kB,240 kB,936 kB
select,without_index_nonclustered,10000,lab4.ext_select_work,679936,0,712704,664 kB,0 bytes,696 kB
select,btree_index_nonclustered,25000,lab4.ext_select_work,1703936,581632,2318336,1664 kB,568 kB,2264 kB
select,without_index_nonclustered,25000,lab4.ext_select_work,1703936,0,1736704,1664 kB,0 bytes,1696 kB
select,btree_index_nonclustered,50000,lab4.ext_select_work,3407872,1138688,4579328,3328 kB,1112 kB,4472 kB
select,without_index_nonclustered,50000,lab4.ext_select_work,3407872,0,3440640,3328 kB,0 bytes,3360 kB
select,btree_index_nonclustered,100000,lab4.ext_select_work,6823936,2260992,9117696,6664 kB,2208 kB,8904 kB
select,without_index_nonclustered,100000,lab4.ext_select_work,6823936,0,6856704,6664 kB,0 bytes,6696 kB
select,btree_index_nonclustered,250000,lab4.ext_select_work,17047552,5644288,22732800,16 MB,5512 kB,22 MB
select,without_index_nonclustered,250000,lab4.ext_select_work,17047552,0,17080320,16 MB,0 bytes,16 MB
select,btree_index_nonclustered,500000,lab4.ext_select_work,34095104,11255808,45391872,33 MB,11 MB,43 MB
select,without_index_nonclustered,500000,lab4.ext_select_work,34095104,0,34136064,33 MB,0 bytes,33 MB
update,expression_index,10,lab4.ext_update_work,8192,32768,49152,8192 bytes,32 kB,48 kB
update,function_index,10,lab4.ext_update_work,8192,32768,49152,8192 bytes,32 kB,48 kB
update,no_extra_index,10,lab4.ext_update_work,8192,16384,32768,8192 bytes,16 kB,32 kB
update,simple_btree,10,lab4.ext_update_work,8192,32768,49152,8192 bytes,32 kB,48 kB
update,unique_btree,10,lab4.ext_update_work,8192,32768,49152,8192 bytes,32 kB,48 kB
update,expression_index,25,lab4.ext_update_work,8192,32768,49152,8192 bytes,32 kB,48 kB
update,function_index,25,lab4.ext_update_work,8192,32768,49152,8192 bytes,32 kB,48 kB
update,no_extra_index,25,lab4.ext_update_work,8192,16384,32768,8192 bytes,16 kB,32 kB
update,simple_btree,25,lab4.ext_update_work,8192,32768,49152,8192 bytes,32 kB,48 kB
update,unique_btree,25,lab4.ext_update_work,8192,32768,49152,8192 bytes,32 kB,48 kB
update,expression_index,50,lab4.ext_update_work,8192,32768,49152,8192 bytes,32 kB,48 kB
