operation_name,index_type,metric,min_rows_for_fit,points_used_for_fit,model_name,priority_rank,formula,coef_0,coef_1,r2,rmse,mape_percent,aicc
insert,expression_index,avg_elapsed_ms_per_operation,50,13,logarithmic,1,y = 0.00474497 + 4.018874e-04·ln(N),0.004744970468684579,0.00040188739779769303,0.14643957433801957,0.002792949124444882,33.78492765893452,-147.6970873966786
insert,expression_index,avg_elapsed_ms_per_operation,50,13,linear,2,y = 0.00713089 + 0.0142751·(N/1e6),0.0071308889805680375,0.014275141097644623,0.44107570968668486,0.0022600725531577723,24.55262783002852,-153.20131743919814
insert,expression_index,avg_elapsed_ms_per_operation,50,13,constant,3,y = 0.00816792,0.008167923076923081,,-2.220446049250313e-16,0.0030230538899885897,33.8571024798533,-148.47504479017954
insert,expression_index,avg_elapsed_ms_per_operation,50,13,exponential,4,y = 0.00682248·exp(1.57234·(N/1e6)),-4.987531932453328,1.5723354932995353,0.39710055210563866,0.0023472985592878797,23.347477553948487,-152.2167441938987
insert,function_index,avg_elapsed_ms_per_operation,50,13,logarithmic,1,y = 0.00680641 + -2.967561e-04·ln(N),0.006806405553234523,-0.00029675605253440555,0.18313311048464198,0.0018041079737860539,30.760865622462575,-159.05991417423894
insert,function_index,avg_elapsed_ms_per_operation,50,13,linear,2,y = 0.00420841 + 9.700626e-04·(N/1e6),0.004208405604690207,0.0009700626207405015,0.004671645527764001,0.001991453029870958,28.235615498352328,-156.49115926399196
insert,function_index,avg_elapsed_ms_per_operation,50,13,constant,3,y = 0.00427888,0.004278876923076924,,0.0,0.0019961210731561916,29.75979600592754,-159.26664920736715
insert,function_index,avg_elapsed_ms_per_operation,50,13,exponential,4,y = 0.00385007·exp(0.425762·(N/1e6)),-5.5596648381828455,0.4257617673389346,-0.020593310602001758,0.002016569704020545,23.188672852223885,-156.16529181277383
insert,no_index,avg_elapsed_ms_per_operation,50,13,constant,1,y = 0.00258363,0.0025836307692307715,,-2.220446049250313e-16,0.0019193134811836378,49.882249231568906,-160.28684432429162
insert,no_index,avg_elapsed_ms_per_operation,50,13,logarithmic,2,y = 0.00645195 + -4.541780e-04·ln(N),0.00645195213560551,-0.0004541779526937692,0.4639826373080239,0.0014051909451018888,39.8405414199437,-165.55713411752916
insert,no_index,avg_elapsed_ms_per_operation,50,13,linear,3,y = 0.00280816 + -0.00309073·(N/1e6),0.002808160666996773,-0.003090733450823822,0.05129504063002854,0.0018694398633653801,49.358877912398185,-158.13502721363062
insert,no_index,avg_elapsed_ms_per_operation,50,13,exponential,4,y = 0.00233826·exp(-0.867641·(N/1e6)),-6.058347042896542,-0.867640883939159,0.0061654093044895,0.0019133876566807494,36.73136172991215,-157.53087910893825
insert,simple_btree,avg_elapsed_ms_per_operation,50,13,logarithmic,1,y = 0.00407433 + 7.535571e-05·ln(N),0.004074334675272728,7.535571360855767e-05,0.007966028351201304,0.0024206347597971203,44.757834192350614,-151.41686237003753
insert,simple_btree,avg_elapsed_ms_per_operation,50,13,linear,2,y = 0.00383239 + 0.0121653·(N/1e6),0.0038323937506479218,0.012165270268505972,0.49562777719224405,0.0017260031081767822,28.69145707181972,-160.21061902364613
insert,simple_btree,avg_elapsed_ms_per_operation,50,13,constant,3,y = 0.00471615,0.004716153846153848,,0.0,0.00243033417031656,44.58414777253953,-154.14925295969215
insert,simple_btree,avg_elapsed_ms_per_operation,50,13,exponential,4,y = 0.00366597·exp(1.98193·(N/1e6)),-5.608661328459714,1.9819304295379738,0.5209471456539363,0.001682122845516813,24.557195125559772,-160.88016580255842
insert,unique_btree,avg_elapsed_ms_per_operation,50,13,logarithmic,1,y = 0.00840063 + -4.257417e-04·ln(N),0.00840063180818554,-0.00042574167737938716,0.3264340721941619,0.0017603912884696566,26.18470793733692,-159.69769846284925
insert,unique_btree,avg_elapsed_ms_per_operation,50,13,linear,2,y = 0.00492767 + -0.00210832·(N/1e6),0.0049276690095514455,-0.0021083196994586624,0.019110793638657864,0.0021243649793649838,25.89771830262057,-154.8113412171382
insert,unique_btree,avg_elapsed_ms_per_operation,50,13,constant,3,y = 0.00477451,0.0047745076923076946,,0.0,0.002144959791791531,25.402167836749364,-157.39685990481155
insert,unique_btree,avg_elapsed_ms_per_operation,50,13,exponential,4,y = 0.00455311·exp(-0.23795·(N/1e6)),-5.3919450814667576,-0.23794988873065664,-0.004717254619596378,0.002150013000228536,20.92977935317193,-154.499316146316
insert,expression_index,avg_total_elapsed_ms,50,13,logarithmic,1,y = -5.28059 + 1.33953·ln(N),-5.280588759862464,1.3395280901449345,0.8378890741584443,1.6960374385128236,26.662613277706708,18.935659904743304
insert,expression_index,avg_total_elapsed_ms,50,13,linear,2,y = 4.54842 + 21.7494·(N/1e6),4.548417437707996,21.749442301774785,0.5273291363991641,2.8960676856934766,119.2256329868121,32.84720000593386
insert,expression_index,avg_total_elapsed_ms,50,13,constant,3,y = 6.12843,6.128430769230772,,-2.220446049250313e-16,4.212396969273618,174.24954077773137,39.75246412685051
insert,expression_index,avg_total_elapsed_ms,50,13,exponential,4,y = 3.32541·exp(3.65241·(N/1e6)),1.201593927895812,3.6524112387475625,0.15835642762501467,3.864500761082798,98.05053491490402,40.347645117178956
insert,function_index,avg_total_elapsed_ms,50,13,logarithmic,1,y = -0.755798 + 0.415821·ln(N),-0.7557983042151976,0.4158211506832177,0.7169309188727591,0.7521160703110353,38.531497734671696,-2.2064800712495902
insert,function_index,avg_total_elapsed_ms,50,13,linear,2,y = 2.3178 + 6.44265·(N/1e6),2.3177968148613246,6.442652908516297,0.41086227720335966,1.085043292411425,80.59466494167118,7.322117062947142
insert,function_index,avg_total_elapsed_ms,50,13,constant,3,y = 2.78583,2.7858307692307704,,0.0,1.4136394314428902,100.99691745236842,11.363992299039523
insert,function_index,avg_total_elapsed_ms,50,13,exponential,4,y = 1.8766·exp(2.50584·(N/1e6)),0.6294610221662968,2.5058375127869628,0.18959413717667561,1.2725941948752995,75.07109383741165,11.46749474469509
insert,no_index,avg_total_elapsed_ms,50,13,constant,1,y = 1.40692,1.4069230769230776,,0.0,0.5636397514968721,57.84965838925776,-12.543202857537073
insert,no_index,avg_total_elapsed_ms,50,13,logarithmic,2,y = 0.444484 + 0.113·ln(N),0.44448415585170303,0.11299954098039429,0.33303631249385834,0.4603124375106437,37.584465478267646,-14.972095010064379
insert,no_index,avg_total_elapsed_ms,50,13,linear,3,y = 1.31809 + 1.22276·(N/1e6),1.3180944768972915,1.2227570948064639,0.0930939062865428,0.5367632512015507,53.075481715465166,-10.97715202172147
insert,no_index,avg_total_elapsed_ms,50,13,exponential,4,y = 1.13972·exp(1.21243·(N/1e6)),0.13077881745259867,1.2124348615088694,-0.003413841145213148,0.564601020078672,51.49804428758225,-9.6625348673439
insert,simple_btree,avg_total_elapsed_ms,50,13,logarithmic,1,y = -3.05156 + 0.745256·ln(N),-3.051563274629357,0.7452556504118669,0.6670684789387776,1.5155429732236068,38.001980624836314,16.01011809590564
insert,simple_btree,avg_total_elapsed_ms,50,13,linear,2,y = 2.03399 + 17.371·(N/1e6),2.033989772877181,17.370958230195544,0.8651871429491034,0.9643983400089258,68.33810023417787,4.257477797434539
insert,simple_btree,avg_total_elapsed_ms,50,13,constant,3,y = 3.29592,3.2959230769230783,,0.0,2.6265809967606897,125.11897232591276,27.47139434344333
insert,simple_btree,avg_total_elapsed_ms,50,13,exponential,4,y = 1.78687·exp(4.06201·(N/1e6)),0.5804645318894269,4.062006174986,0.7270542195380394,1.3722365737401074,67.74468767762164,13.42749055125675
insert,unique_btree,avg_total_elapsed_ms,50,13,logarithmic,1,y = -0.271684 + 0.390386·ln(N),-0.27168380271539183,0.39038582550576206,0.6884559886813745,0.7559383584241424,35.84183842551001,-2.0746815076750194
insert,unique_btree,avg_total_elapsed_ms,50,13,linear,2,y = 2.74814 + 4.20069·(N/1e6),2.7481434567834726,4.200693627504103,0.19029735746434095,1.2186793656308597,85.72329044389454,10.341962416368283
insert,unique_btree,avg_total_elapsed_ms,50,13,constant,3,y = 3.05331,3.0533076923076936,,-2.220446049250313e-16,1.3543368007777197,96.96959926865196,10.249745467065017
insert,unique_btree,avg_total_elapsed_ms,50,13,exponential,4,y = 2.21928·exp(1.84213·(N/1e6)),0.7971807788823834,1.8421258567173706,-0.0067807066432223895,1.3589207236178023,75.42851342310512,13.173960777044321
select,btree_index_nonclustered,avg_elapsed_ms_per_operation,50,13,logarithmic,1,y = -0.00121876 + 0.00622445·ln(N),-0.0012187621050241322,0.0062244510050374294,0.4796629792548124,0.018661478361251056,34.06239061808952,-98.31364037253013
select,btree_index_nonclustered,avg_elapsed_ms_per_operation,50,13,constant,2,y = 0.0517961,0.051796089615384636,,0.0,0.025870432098972072,48.33594886748591,-92.65738272205583
select,btree_index_nonclustered,avg_elapsed_ms_per_operation,50,13,linear,3,y = 0.0412997 + 0.144486·(N/1e6),0.04129972601273876,0.14448615717322785,0.6170057574968456,0.01601031236587878,27.459808025391574,-102.29757827875538
select,btree_index_nonclustered,avg_elapsed_ms_per_operation,50,13,exponential,4,y = 0.039064·exp(2.34583·(N/1e6)),-3.2425549812599463,2.3458284270663943,0.5256122797901791,0.01781846965668025,25.378531592602865,-99.51551320045466
select,without_index_nonclustered,avg_elapsed_ms_per_operation,50,13,linear,1,y = 0.326265 + 38.8974·(N/1e6),0.3262649676992521,38.89741149821021,0.962004032794222,1.0872340807213114,336.8840328934415,7.374560195737975
select,without_index_nonclustered,avg_elapsed_ms_per_operation,50,13,logarithmic,2,y = -9.25417 + 1.45661·ln(N),-9.254174272811827,1.4566050460062783,0.5650885005783226,3.678364400637021,2443.495635988038,39.06417312283734
select,without_index_nonclustered,avg_elapsed_ms_per_operation,50,13,constant,3,y = 3.15201,3.1520123076153856,,0.0,5.5776891295742015,3504.820476883164,47.051774823040816
select,without_index_nonclustered,avg_elapsed_ms_per_operation,50,13,exponential,4,y = 0.166336·exp(12.1865·(N/1e6)),-1.793748400660622,12.186476297615934,-6.968130546620944,15.744632414963581,191.69591752892745,76.86898721154945
select,btree_index_nonclustered,avg_total_elapsed_ms,50,13,logarithmic,1,y = -0.243752 + 1.24489·ln(N),-0.2437523908881202,1.244890215534507,0.47966297575679684,3.7322957419580884,34.06239048355408,39.44261164331936
select,btree_index_nonclustered,avg_total_elapsed_ms,50,13,constant,2,y = 10.3592,10.35921807692308,,-2.220446049250313e-16,5.174086499038892,48.335949457747795,45.098869206399925
select,btree_index_nonclustered,avg_total_elapsed_ms,50,13,linear,3,y = 8.25995 + 28.8972·(N/1e6),8.259945358990773,28.89723139889875,0.6170057370706512,3.2020626076050536,27.45980870630894,35.45867434302808
select,btree_index_nonclustered,avg_total_elapsed_ms,50,13,exponential,4,y = 7.81279·exp(2.34583·(N/1e6)),2.055762400934813,2.345828407074996,0.5256122573008787,3.56369407038835,25.378532749741485,38.240739344292116
