index_type,trigger_mode,rows_base,runs,chunk_count_min,chunk_count_max,chunk_size_min,chunk_size_max,affected_min,affected_max,trigger_rows_min,trigger_rows_max,avg_total_elapsed_ms,min_total_elapsed_ms,max_total_elapsed_ms,stddev_total_elapsed_ms,avg_elapsed_ms_per_row
expression_index,without_trigger,10,5,100,100,10,10,1000,1000,0,0,94.9552000000000000,31.774000,156.887000,49.2311174025128136,0.09495520000000000000
expression_index,with_trigger,10,5,100,100,10,10,1000,1000,1000,1000,154.7362000000000000,42.075000,329.448000,119.432108127170,0.15473620000000000000
function_index,without_trigger,10,5,100,100,10,10,1000,1000,0,0,90.7302000000000000,25.941000,204.901000,69.0217027006723444,0.09073020000000000000
function_index,with_trigger,10,5,100,100,10,10,1000,1000,1000,1000,95.6402000000000000,34.196000,164.641000,56.0532275493570486,0.09564020000000000000
no_extra_index,without_trigger,10,5,100,100,10,10,1000,1000,0,0,12.7554000000000000,8.132000,19.732000,4.4072919463089803,0.01275540000000000000
no_lookup_index,without_trigger,10,5,100,100,10,10,1000,1000,0,0,11.4948000000000000,8.496000,15.002000,2.3632717152286996,0.01149480000000000000
simple_btree,without_trigger,10,5,100,100,10,10,1000,1000,0,0,61.2358000000000000,18.424000,110.221000,35.4851323613143650,0.06123580000000000000
simple_btree,with_trigger,10,5,100,100,10,10,1000,1000,1000,1000,73.9276000000000000,30.933000,100.246000,29.1567014218001005,0.07392760000000000000
unique_btree,without_trigger,10,5,100,100,10,10,1000,1000,0,0,57.0968000000000000,24.601000,90.170000,26.6470719535937006,0.05709680000000000000
unique_btree,with_trigger,10,5,100,100,10,10,1000,1000,1000,1000,74.7668000000000000,45.242000,104.363000,22.1630683277383775,0.07476680000000000000
expression_index,without_trigger,25,5,100,100,10,10,1000,1000,0,0,63.2924000000000000,25.196000,117.845000,36.2589503888350304,0.06329240000000000000
expression_index,with_trigger,25,5,100,100,10,10,1000,1000,1000,1000,85.1974000000000000,37.407000,153.447000,45.4778467311283330,0.08519740000000000000
function_index,without_trigger,25,5,100,100,10,10,1000,1000,0,0,52.8130000000000000,18.400000,90.329000,26.1118540322206918,0.05281300000000000000
function_index,with_trigger,25,5,100,100,10,10,1000,1000,1000,1000,61.6256000000000000,35.149000,107.389000,29.4437131201212460,0.06162560000000000000
no_extra_index,without_trigger,25,5,100,100,10,10,1000,1000,0,0,18.1054000000000000,11.810000,22.758000,4.5290008059173494,0.01810540000000000000
no_lookup_index,without_trigger,25,5,100,100,10,10,1000,1000,0,0,14.3844000000000000,9.149000,21.009000,5.1034097229205495,0.01438440000000000000
simple_btree,without_trigger,25,5,100,100,10,10,1000,1000,0,0,40.1108000000000000,14.839000,80.761000,25.0905224975487507,0.04011080000000000000
simple_btree,with_trigger,25,5,100,100,10,10,1000,1000,1000,1000,51.6020000000000000,26.348000,110.031000,33.5269855489574249,0.05160200000000000000
unique_btree,without_trigger,25,5,100,100,10,10,1000,1000,0,0,36.3458000000000000,15.305000,53.881000,16.1740028966239523,0.03634580000000000000
unique_btree,with_trigger,25,5,100,100,10,10,1000,1000,1000,1000,40.9468000000000000,25.037000,54.402000,11.5890358831095178,0.04094680000000000000
expression_index,without_trigger,50,5,100,100,10,10,1000,1000,0,0,46.6302000000000000,18.550000,103.959000,33.4855389937208566,0.04663020000000000000
expression_index,with_trigger,50,5,100,100,10,10,1000,1000,1000,1000,49.6452000000000000,30.683000,70.419000,15.0101182773487831,0.04964520000000000000
function_index,without_trigger,50,5,100,100,10,10,1000,1000,0,0,45.9586000000000000,17.569000,117.517000,40.4921053330152247,0.04595860000000000000
function_index,with_trigger,50,5,100,100,10,10,1000,1000,1000,1000,41.3164000000000000,22.327000,59.785000,16.5383913909424698,0.04131640000000000000
no_extra_index,without_trigger,50,5,100,100,10,10,1000,1000,0,0,20.4248000000000000,10.853000,32.036000,8.2562015903198488,0.02042480000000000000
no_lookup_index,without_trigger,50,5,100,100,10,10,1000,1000,0,0,18.9446000000000000,9.263000,29.920000,7.9929537281282944,0.01894460000000000000
simple_btree,without_trigger,50,5,100,100,10,10,1000,1000,0,0,27.8480000000000000,19.971000,35.867000,5.9063072219450285,0.02784800000000000000
simple_btree,with_trigger,50,5,100,100,10,10,1000,1000,1000,1000,29.8360000000000000,20.144000,38.477000,7.3795085879752183,0.02983600000000000000
unique_btree,without_trigger,50,5,100,100,10,10,1000,1000,0,0,35.2484000000000000,12.131000,87.474000,30.1351520039305592,0.03524840000000000000
