index_type,trigger_mode,rows_base,affected_min,affected_max,trigger_rows_min,trigger_rows_max,check_result
function_index,without_trigger,50000,1000,1000,0,0,OK
function_index,with_trigger,50000,1000,1000,1000,1000,OK
no_extra_index,without_trigger,50000,1000,1000,0,0,OK
no_lookup_index,without_trigger,50000,1000,1000,0,0,OK
simple_btree,without_trigger,50000,1000,1000,0,0,OK
simple_btree,with_trigger,50000,1000,1000,1000,1000,OK
unique_btree,without_trigger,50000,1000,1000,0,0,OK
unique_btree,with_trigger,50000,1000,1000,1000,1000,OK
expression_index,without_trigger,100000,1000,1000,0,0,OK
expression_index,with_trigger,100000,1000,1000,1000,1000,OK
function_index,without_trigger,100000,1000,1000,0,0,OK
function_index,with_trigger,100000,1000,1000,1000,1000,OK
no_extra_index,without_trigger,100000,1000,1000,0,0,OK
no_lookup_index,without_trigger,100000,1000,1000,0,0,OK
simple_btree,without_trigger,100000,1000,1000,0,0,OK
simple_btree,with_trigger,100000,1000,1000,1000,1000,OK
unique_btree,without_trigger,100000,1000,1000,0,0,OK
unique_btree,with_trigger,100000,1000,1000,1000,1000,OK
expression_index,without_trigger,250000,1000,1000,0,0,OK
expression_index,with_trigger,250000,1000,1000,1000,1000,OK
function_index,without_trigger,250000,1000,1000,0,0,OK
function_index,with_trigger,250000,1000,1000,1000,1000,OK
no_extra_index,without_trigger,250000,1000,1000,0,0,OK
no_lookup_index,without_trigger,250000,1000,1000,0,0,OK
simple_btree,without_trigger,250000,1000,1000,0,0,OK
simple_btree,with_trigger,250000,1000,1000,1000,1000,OK
unique_btree,without_trigger,250000,1000,1000,0,0,OK
unique_btree,with_trigger,250000,1000,1000,1000,1000,OK
expression_index,without_trigger,500000,1000,1000,0,0,OK
expression_index,with_trigger,500000,1000,1000,1000,1000,OK
function_index,without_trigger,500000,1000,1000,0,0,OK
function_index,with_trigger,500000,1000,1000,1000,1000,OK
no_extra_index,without_trigger,500000,1000,1000,0,0,OK
no_lookup_index,without_trigger,500000,1000,1000,0,0,OK
simple_btree,without_trigger,500000,1000,1000,0,0,OK
simple_btree,with_trigger,500000,1000,1000,1000,1000,OK
unique_btree,without_trigger,500000,1000,1000,0,0,OK
unique_btree,with_trigger,500000,1000,1000,1000,1000,OK
