operation_name,index_type,rows_base,table_name,relation_bytes,indexes_bytes,total_bytes,relation_size,indexes_size,total_size
update,expression_index,100,lab4.ext_update_work,16384,32768,81920,16 kB,32 kB,80 kB
update,function_index,100,lab4.ext_update_work,16384,32768,81920,16 kB,32 kB,80 kB
update,no_extra_index,100,lab4.ext_update_work,16384,16384,65536,16 kB,16 kB,64 kB
update,simple_btree,100,lab4.ext_update_work,16384,32768,81920,16 kB,32 kB,80 kB
update,unique_btree,100,lab4.ext_update_work,16384,32768,81920,16 kB,32 kB,80 kB
update,expression_index,1000,lab4.ext_update_work,90112,81920,204800,88 kB,80 kB,200 kB
update,function_index,1000,lab4.ext_update_work,90112,81920,204800,88 kB,80 kB,200 kB
update,no_extra_index,1000,lab4.ext_update_work,90112,40960,163840,88 kB,40 kB,160 kB
update,simple_btree,1000,lab4.ext_update_work,90112,81920,204800,88 kB,80 kB,200 kB
update,unique_btree,1000,lab4.ext_update_work,90112,81920,204800,88 kB,80 kB,200 kB
update,expression_index,10000,lab4.ext_update_work,851968,466944,1351680,832 kB,456 kB,1320 kB
update,function_index,10000,lab4.ext_update_work,851968,491520,1376256,832 kB,480 kB,1344 kB
update,no_extra_index,10000,lab4.ext_update_work,851968,245760,1130496,832 kB,240 kB,1104 kB
update,simple_btree,10000,lab4.ext_update_work,851968,491520,1376256,832 kB,480 kB,1344 kB
update,unique_btree,10000,lab4.ext_update_work,851968,491520,1376256,832 kB,480 kB,1344 kB
update,expression_index,100000,lab4.ext_update_work,8445952,3072000,11550720,8248 kB,3000 kB,11 MB
update,function_index,100000,lab4.ext_update_work,8445952,3219456,11698176,8248 kB,3144 kB,11 MB
update,no_extra_index,100000,lab4.ext_update_work,8445952,2260992,10739712,8248 kB,2208 kB,10 MB
update,simple_btree,100000,lab4.ext_update_work,8445952,3219456,11698176,8248 kB,3144 kB,11 MB
update,unique_btree,100000,lab4.ext_update_work,8445952,4521984,13000704,8248 kB,4416 kB,12 MB
update,expression_index,1000000,lab4.ext_update_work,84459520,29368320,113876992,81 MB,28 MB,109 MB
update,function_index,1000000,lab4.ext_update_work,84459520,29360128,113868800,81 MB,28 MB,109 MB
update,no_extra_index,1000000,lab4.ext_update_work,84459520,22487040,106995712,81 MB,21 MB,102 MB
update,simple_btree,1000000,lab4.ext_update_work,84459520,29360128,113868800,81 MB,28 MB,109 MB
update,unique_btree,1000000,lab4.ext_update_work,84459520,44974080,129482752,81 MB,43 MB,123 MB
update,expression_index,25000000,lab4.ext_update_work,2111315968,735363072,2847227904,2014 MB,701 MB,2715 MB
update,function_index,25000000,lab4.ext_update_work,2111315968,735363072,2847227904,2014 MB,701 MB,2715 MB
update,no_extra_index,25000000,lab4.ext_update_work,2111315968,561561600,2673426432,2014 MB,536 MB,2550 MB
update,simple_btree,25000000,lab4.ext_update_work,2111315968,735363072,2847227904,2014 MB,701 MB,2715 MB
update,unique_btree,25000000,lab4.ext_update_work,2111315968,1123123200,3234988032,2014 MB,1071 MB,3085 MB
update,expression_index,50000000,lab4.ext_update_work,4222631936,1470734336,5694431232,4027 MB,1403 MB,5431 MB
update,function_index,50000000,lab4.ext_update_work,4222631936,1470709760,5694406656,4027 MB,1403 MB,5431 MB
update,no_extra_index,50000000,lab4.ext_update_work,4222631936,1123115008,5346811904,4027 MB,1071 MB,5099 MB
update,simple_btree,50000000,lab4.ext_update_work,4222631936,1470709760,5694406656,4027 MB,1403 MB,5431 MB
update,unique_btree,50000000,lab4.ext_update_work,4222631936,2246230016,6469926912,4027 MB,2142 MB,6170 MB
