wal_file,size_bytes
0000000100000023000000AE,16777216
0000000100000023000000AF,16777216
0000000100000023000000B0,16777216
0000000100000023000000B1,16777216
0000000100000023000000B2,16777216
0000000100000023000000B3,16777216
0000000100000023000000B4,16777216
0000000100000023000000B5,16777216
0000000100000023000000B6,16777216
0000000100000023000000B7,16777216
0000000100000023000000B8,16777216
0000000100000023000000B9,16777216
0000000100000023000000BA,16777216
0000000100000023000000BB,16777216
0000000100000023000000BC,16777216
0000000100000023000000BD,16777216
0000000100000023000000BE,16777216
0000000100000023000000BF,16777216
0000000100000023000000C0,16777216
0000000100000023000000C1,16777216
0000000100000023000000C2,16777216
0000000100000023000000C3,16777216
0000000100000023000000C4,16777216
0000000100000023000000C5,16777216
0000000100000023000000C6,16777216
0000000100000023000000C7,16777216
0000000100000023000000C8,16777216
0000000100000023000000C9,16777216
0000000100000023000000CA,16777216
0000000100000023000000CB,16777216
0000000100000023000000CC,16777216
0000000100000023000000CD,16777216
0000000100000023000000CE,16777216
0000000100000023000000CF,16777216
0000000100000023000000D0,16777216
0000000100000023000000D1,16777216
0000000100000023000000D2,16777216
0000000100000023000000D3,16777216
0000000100000023000000D4,16777216
0000000100000023000000D5,16777216
0000000100000023000000D6,16777216
0000000100000023000000D7,16777216
0000000100000023000000D8,16777216
0000000100000023000000D9,16777216
0000000100000023000000DA,16777216
0000000100000023000000DB,16777216
0000000100000023000000DC,16777216
0000000100000023000000DD,16777216
0000000100000023000000DE,16777216
0000000100000023000000DF,16777216
0000000100000023000000E0,16777216
0000000100000023000000E1,16777216
0000000100000023000000E2,16777216
0000000100000023000000E3,16777216
0000000100000023000000E4,16777216
0000000100000023000000E5,16777216
0000000100000023000000E6,16777216
0000000100000023000000E7,16777216
0000000100000023000000E8,16777216
0000000100000023000000E9,16777216
0000000100000023000000EA,16777216
0000000100000023000000EB,16777216
0000000100000023000000EC,16777216
0000000100000023000000ED,16777216
