operation_name,index_type,metric,min_rows_for_fit,points_used_for_fit,model_name,formula,aicc,r2,rmse,mape_percent
size_select,btree_index_nonclustered,total_bytes,50,13,log_plus_linear,y = 2.096576e+04 + 3078.03·ln(N) + 9.066478e+07·(N/1e6),236.8315756003692,0.99999974247684,6474.155287490696,5.835081205254822
size_select,without_index_nonclustered,total_bytes,50,13,log_plus_linear,y = 9239.62 + 2324.28·ln(N) + 6.818793e+07·(N/1e6),231.67971053407743,0.9999996936858269,5310.412336952262,10.341208681227943
size_update,expression_index,indexes_bytes,50,13,log_plus_linear,y = -9.696345e+04 + 2.546916e+04·ln(N) + 2.896025e+07·(N/1e6),267.21642261042894,0.9999745033148205,20831.496651716556,19.592865541339265
size_update,function_index,indexes_bytes,50,13,log_plus_linear,y = -1.985928e+05 + 4.330140e+04·ln(N) + 2.897114e+07·(N/1e6),285.23394088931065,0.9998999348253008,41656.089971822614,37.03728554160947
size_update,no_extra_index,indexes_bytes,50,13,linear,y = 1.713057e+04 + 2.248216e+07·(N/1e6),218.38739312150122,0.9999986753911528,3639.1853114976802,6.883762301553503
size_update,simple_btree,indexes_bytes,50,13,log_plus_linear,y = -1.985928e+05 + 4.330140e+04·ln(N) + 2.897114e+07·(N/1e6),285.23394088931065,0.9998999348253008,41656.089971822614,37.03728554160947
size_update,unique_btree,indexes_bytes,50,13,linear,y = 3.426114e+04 + 4.496432e+07·(N/1e6),236.4092198160598,0.9999986753911528,7278.3706229953605,6.883762301553503
size_update,expression_index,relation_bytes,50,13,linear,y = 4586.01 + 8.445048e+07·(N/1e6),204.23576663777024,0.99999996839231,2111.643416654705,3.114804876181656
size_update,function_index,relation_bytes,50,13,linear,y = 4586.01 + 8.445048e+07·(N/1e6),204.23576663777024,0.99999996839231,2111.643416654705,3.114804876181656
size_update,no_extra_index,relation_bytes,50,13,linear,y = 4586.01 + 8.445048e+07·(N/1e6),204.23576663777024,0.99999996839231,2111.643416654705,3.114804876181656
size_update,simple_btree,relation_bytes,50,13,linear,y = 4586.01 + 8.445048e+07·(N/1e6),204.23576663777024,0.99999996839231,2111.643416654705,3.114804876181656
size_update,unique_btree,relation_bytes,50,13,linear,y = 4586.01 + 8.445048e+07·(N/1e6),204.23576663777024,0.99999996839231,2111.643416654705,3.114804876181656
size_update,expression_index,total_bytes,50,13,log_plus_linear,y = -7.014473e+04 + 2.651210e+04·ln(N) + 1.134161e+08·(N/1e6),266.2633768681124,0.9999984258082903,20081.73103432339,6.535166066560971
